epoch_id,validator_group,member_count,voting_power,delegated_stake,nominal_fee,network_effective_fee,identity_adjusted_effective_fee
192,PANDABYTE,2,9.02,211931121,0.69,0.69,0.69
193,PANDABYTE,2,9.0,211409584,0.69,0.69,0.69
194,PANDABYTE,2,9.01,212317055,0.69,0.69,0.69
195,PANDABYTE,2,9.01,212366299,0.69,0.69,0.69
196,PANDABYTE,2,9.04,213204935,0.69,0.69,0.69
197,PANDABYTE,2,9.02,213181340,0.69,0.69,0.69
198,PANDABYTE,2,9.06,214706128,0.69,0.69,0.69
199,PANDABYTE,2,9.08,215129463,0.69,0.69,0.69
200,PANDABYTE,2,9.24,215126520,0.69,0.69,0.69
201,PANDABYTE,2,9.25,215804117,0.69,0.69,0.69
202,PANDABYTE,2,9.27,216288821,0.69,0.69,0.69
203,PANDABYTE,2,9.25,216157844,0.69,0.69,0.69
204,PANDABYTE,2,9.26,216381252,0.69,0.69,0.69
205,PANDABYTE,2,9.26,216390399,0.69,0.69,0.69
206,PANDABYTE,2,9.09,217030629,0.69,0.69,0.69
207,PANDABYTE,2,9.14,217350496,0.69,0.69,0.69
208,PANDABYTE,2,9.09,216575687,0.69,0.69,0.69
209,PANDABYTE,2,9.17,218470595,0.69,0.69,0.69
210,PANDABYTE,2,9.17,218699845,0.69,0.69,0.69
211,PANDABYTE,2,9.19,219086632,0.69,0.69,0.69
212,PANDABYTE,2,9.21,219360493,0.69,0.69,0.69
213,PANDABYTE,2,9.18,218540869,0.69,0.69,0.69
214,PANDABYTE,2,9.2,219056926,0.69,0.69,0.69
215,PANDABYTE,2,9.1,217280434,0.69,0.69,0.69
216,PANDABYTE,2,9.12,217871323,0.69,0.69,0.69
217,PANDABYTE,2,9.13,218240402,0.69,0.69,0.69
218,PANDABYTE,2,9.13,218351520,0.69,0.69,0.69
219,PANDABYTE,2,9.13,218566889,0.69,0.69,0.69
220,PANDABYTE,2,9.2,218770154,0.69,0.69,0.69
221,PANDABYTE,2,9.14,218883899,0.69,0.69,0.69
