id,time,epoch_id,validator_slot,validator_address,stake_action,unstake_action,staked_amount
0x03e98ae27508064183364055d661a33c45247edfb06a56c95485195813050bd4,21,79,1,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,1,0,315149
0x03e98ae27508064183364055d661a33c45247edfb06a56c95485195813050bd4,22,86,1,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,0,1,315149
0x03e98ae27508064183364055d661a33c45247edfb06a56c95485195813050bd4,23,86,1,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,1,0,300816
0x03e98ae27508064183364055d661a33c45247edfb06a56c95485195813050bd4,24,86,1,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,1,0,15000
0x03e98ae27508064183364055d661a33c45247edfb06a56c95485195813050bd4,25,86,1,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,0,1,15000
0x03e98ae27508064183364055d661a33c45247edfb06a56c95485195813050bd4,26,86,1,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,1,0,15000
0x03e98ae27508064183364055d661a33c45247edfb06a56c95485195813050bd4,27,202,1,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,0,1,15000
0x03e98ae27508064183364055d661a33c45247edfb06a56c95485195813050bd4,28,202,1,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,0,1,300816
0x03e98ae27508064183364055d661a33c45247edfb06a56c95485195813050bd4,29,202,4,0xf13d1377ea2b3f22e8b8a4e56fa4ac4f2429db8d50709e514184e5af41e5834e,1,0,349789
0x03e98ae27508064183364055d661a33c45247edfb06a56c95485195813050bd4,30,241,4,0xf13d1377ea2b3f22e8b8a4e56fa4ac4f2429db8d50709e514184e5af41e5834e,0,1,349789
0x03e98ae27508064183364055d661a33c45247edfb06a56c95485195813050bd4,31,241,4,0xf13d1377ea2b3f22e8b8a4e56fa4ac4f2429db8d50709e514184e5af41e5834e,1,0,354083
0x03e98ae27508064183364055d661a33c45247edfb06a56c95485195813050bd4,32,255,4,0xf13d1377ea2b3f22e8b8a4e56fa4ac4f2429db8d50709e514184e5af41e5834e,0,1,354083
0x03e98ae27508064183364055d661a33c45247edfb06a56c95485195813050bd4,33,255,4,0xf13d1377ea2b3f22e8b8a4e56fa4ac4f2429db8d50709e514184e5af41e5834e,1,0,355595
0x03e98ae27508064183364055d661a33c45247edfb06a56c95485195813050bd4,34,255,4,0xf13d1377ea2b3f22e8b8a4e56fa4ac4f2429db8d50709e514184e5af41e5834e,0,1,355595
0x03e98ae27508064183364055d661a33c45247edfb06a56c95485195813050bd4,35,255,4,0xf13d1377ea2b3f22e8b8a4e56fa4ac4f2429db8d50709e514184e5af41e5834e,1,0,355295
0x03e98ae27508064183364055d661a33c45247edfb06a56c95485195813050bd4,36,296,4,0xf13d1377ea2b3f22e8b8a4e56fa4ac4f2429db8d50709e514184e5af41e5834e,0,1,355295
0x03e98ae27508064183364055d661a33c45247edfb06a56c95485195813050bd4,37,296,4,0xf13d1377ea2b3f22e8b8a4e56fa4ac4f2429db8d50709e514184e5af41e5834e,1,0,359809
0x04021002b86c032fc56d5cab53adf2d3a0c5e62590a8c2179494c0fd83c51824,1,9,1,0xe7f6929a0d929a0ef8c590b840cfbfd12326fc00844841ed623c8c7cd2c3a1a2,1,0,8550
0x04021002b86c032fc56d5cab53adf2d3a0c5e62590a8c2179494c0fd83c51824,2,39,1,0xe7f6929a0d929a0ef8c590b840cfbfd12326fc00844841ed623c8c7cd2c3a1a2,0,1,8550
0x04021002b86c032fc56d5cab53adf2d3a0c5e62590a8c2179494c0fd83c51824,3,39,1,0xe7f6929a0d929a0ef8c590b840cfbfd12326fc00844841ed623c8c7cd2c3a1a2,1,0,9001
0x04021002b86c032fc56d5cab53adf2d3a0c5e62590a8c2179494c0fd83c51824,4,59,1,0xe7f6929a0d929a0ef8c590b840cfbfd12326fc00844841ed623c8c7cd2c3a1a2,0,1,9001
0x04021002b86c032fc56d5cab53adf2d3a0c5e62590a8c2179494c0fd83c51824,5,59,1,0xe7f6929a0d929a0ef8c590b840cfbfd12326fc00844841ed623c8c7cd2c3a1a2,1,0,9508
0x04021002b86c032fc56d5cab53adf2d3a0c5e62590a8c2179494c0fd83c51824,6,116,1,0xe7f6929a0d929a0ef8c590b840cfbfd12326fc00844841ed623c8c7cd2c3a1a2,0,1,9508
0x04021002b86c032fc56d5cab53adf2d3a0c5e62590a8c2179494c0fd83c51824,7,116,1,0xe7f6929a0d929a0ef8c590b840cfbfd12326fc00844841ed623c8c7cd2c3a1a2,1,0,10114
0x04021002b86c032fc56d5cab53adf2d3a0c5e62590a8c2179494c0fd83c51824,8,158,1,0xe7f6929a0d929a0ef8c590b840cfbfd12326fc00844841ed623c8c7cd2c3a1a2,0,1,10114
