epoch_id,validator_address,validator_name,voting_power,delegated_stake,applied_fee,effective_fee
154,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE I,6.88,155284168,0.69,0.69
155,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE I,6.87,155212766,0.69,0.69
156,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE I,6.78,154832307,0.69,0.69
157,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE I,6.78,155003405,0.69,0.69
158,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE I,6.79,155121923,0.69,0.69
159,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE I,6.77,155306066,0.69,0.69
160,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE I,6.76,155155402,0.69,0.69
161,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE I,6.76,155197303,0.69,0.69
162,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE I,6.74,155140643,0.69,0.69
163,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE I,6.78,156410240,0.69,0.69
164,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE I,6.67,156415078,0.69,0.69
165,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE I,6.66,156570109,0.69,0.69
166,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE I,6.64,155942610,0.69,0.69
